timestamp,open,high,low,close,volume
2025-06-14,106066.1,106219.2,104305.7,105410.9,2746.44099044
2025-06-15,105410.9,106140.0,104500.0,105579.9,3221.13151708
2025-06-16,105580.0,108974.7,104972.2,106803.8,5344.88227532
2025-06-17,106806.0,107761.7,103368.1,104564.0,8918.27917156
2025-06-18,104565.1,105544.2,103500.0,104890.1,5088.53967851
2025-06-19,104890.0,105225.8,103920.1,104652.4,2621.85826146
2025-06-20,104652.1,106520.0,102340.7,103304.6,6357.82807147
2025-06-21,103304.6,103991.6,100866.0,102124.4,5004.83021331
2025-06-22,102126.3,103396.6,98188.4,100949.2,10247.09025563
2025-06-23,100948.1,106052.1,99636.6,105356.0,9643.94046111
2025-06-24,105355.9,106290.8,104625.1,106094.1,6777.21948302
2025-06-25,106094.2,108130.0,105820.1,107335.5,6583.53806839
2025-06-26,107335.6,108290.0,106546.8,106962.8,4918.44529866
2025-06-27,106962.9,107742.0,106377.0,107054.0,4927.65118747
2025-06-28,107054.5,107552.4,106806.4,107302.7,1997.79672528
2025-06-29,107302.7,108539.0,107169.2,108361.5,2926.27530671
2025-06-30,108361.5,108800.0,106736.9,107140.0,4033.4241961
2025-07-01,107140.1,107547.9,105239.2,105688.1,4678.27318176
2025-07-02,105688.1,109750.0,105100.0,108838.9,6318.35624475
2025-07-03,108838.9,110529.0,108526.1,109593.4,4574.2563791
2025-07-04,109593.5,109777.8,107255.7,107985.4,3223.40250189
2025-07-05,107985.5,108432.7,107750.1,108199.7,1248.5447676
2025-07-06,108199.8,109719.6,107804.1,109202.6,2030.6132155
2025-07-07,109202.6,109707.9,107506.5,108262.1,2682.62827793
2025-07-08,108262.1,109218.8,107421.4,108926.0,2834.4736747
2025-07-09,108926.0,112000.0,108333.4,111239.3,5410.12333575
2025-07-10,111239.3,117548.2,110504.4,116015.9,9867.99294038
2025-07-11,116016.0,118868.0,115208.1,117542.3,8037.12136085
2025-07-12,117542.2,118230.5,116916.6,117437.1,5247.26861473
2025-07-13,117438.0,119500.0,117222.5,119096.0,3185.85793522
2025-07-14,119095.9,123226.0,118906.5,119929.6,6731.423528
